Tahun,Kabupaten_Kota,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
2024,Sulawesi Tengah,941412,831294,809385,1061864,814471.0,774521.0,769772.0,561958.0,597380.0,589332.0,582891.0,994941.0,9329221.0
2024,Banggai Kepulauan,27825,22383,21305,28988,20070.0,20409.0,16614.0,11742.0,15516.0,14200.0,15691.0,26209.0,240952.0
2024,Banggai,63396,47993,50195,68504,53179.0,42536.0,47701.0,32617.0,35754.0,36540.0,35382.0,61166.0,574963.0
2024,Morowali,120827,106617,101589,113203,88448.0,70451.0,69051.0,54167.0,53685.0,53012.0,52276.0,86831.0,970157.0
2024,Poso,87900,71793,71062,87795,69558.0,70655.0,70087.0,46159.0,51292.0,49397.0,42204.0,77748.0,795650.0
2024,Donggala,88179,87072,76527,117208,81412.0,87743.0,72827.0,55658.0,61328.0,58628.0,59696.0,91631.0,937909.0
2024,Tolitoli,33468,31218,34297,53607,30470.0,27238.0,28215.0,20051.0,20486.0,18458.0,15883.0,31303.0,344694.0
2024,Buol,18080,17175,15392,24855,14325.0,13774.0,13022.0,9754.0,10273.0,10300.0,9148.0,14988.0,171086.0
2024,Parigi Moutong,82498,72109,68368,101245,65864.0,68061.0,64987.0,45215.0,51277.0,48965.0,50855.0,85858.0,805302.0
2024,Tojo Una-una,27649,25329,22961,37376,23178.0,21852.0,22751.0,16705.0,17798.0,15836.0,15719.0,25743.0,272897.0
2024,Sigi,87074,82991,78574,98207,86010.0,87827.0,83047.0,64248.0,65477.0,66252.0,63704.0,103648.0,967059.0
2024,Banggai Laut,17303,13353,12768,15962,10430.0,13875.0,9575.0,8653.0,11229.0,8349.0,10144.0,20424.0,152065.0
2024,Morowali Utara,60673,52902,49287,56298,45668.0,41050.0,55099.0,30871.0,30165.0,30385.0,29160.0,51936.0,533494.0
2024,Kota Palu,226540,200359,207060,258616,225859.0,209050.0,216796.0,166118.0,173100.0,179010.0,183029.0,317456.0,2562993.0
2025,Sulawesi Tengah,1004763,875103,859765,1147915,914263.0,1041761.0,951615.0,926150.0,895193.0,942049.0,972499.0,1137857.0,11668933.0
2025,Banggai Kepulauan,21771,19406,15495,28192,17756.0,21090.0,18513.0,17489.0,15191.0,15915.0,17534.0,18460.0,226812.0
2025,Banggai,61301,48246,49363,73222,46684.0,54640.0,52570.0,46245.0,46434.0,47815.0,54720.0,65636.0,646876.0
2025,Morowali,91890,88178,109055,95522,80301.0,83223.0,86145.0,86223.0,88472.0,92415.0,91370.0,109037.0,1101831.0
2025,Poso,98487,69251,68799,94105,74591.0,88661.0,78844.0,81796.0,76010.0,77224.0,72371.0,88976.0,969115.0
2025,Donggala,103198,86670,73096,134054,93184.0,115526.0,89997.0,92603.0,91704.0,94699.0,100267.0,116307.0,1191305.0
2025,Tolitoli,28698,28214,24745,51706,25820.0,33041.0,30341.0,33722.0,26431.0,28123.0,28082.0,35284.0,374207.0
2025,Buol,15554,14133,12399,23426,12548.0,16462.0,14527.0,30741.0,14086.0,14301.0,14532.0,16979.0,199688.0
2025,Parigi Moutong,88046,80368,79904,118965,71184.0,108449.0,82448.0,83418.0,74980.0,80451.0,86335.0,101486.0,1056034.0
2025,Tojo Una-una,30154,25670,22614,43639,25196.0,34895.0,26982.0,24618.0,26216.0,27610.0,28536.0,34287.0,350417.0
2025,Sigi,102865,95880,89741,119836,102821.0,113177.0,104679.0,96169.0,102025.0,106588.0,108333.0,127960.0,1270074.0
2025,Banggai Laut,16601,14956,11805,14988,10658.0,11590.0,10111.0,9422.0,10225.0,11746.0,18103.0,11505.0,151710.0
2025,Morowali Utara,55254,45937,51150,56284,49759.0,55047.0,52776.0,46957.0,44765.0,44587.0,46235.0,55931.0,604682.0
2025,Kota Palu,290944,258194,251599,293976,303761.0,305960.0,303682.0,276747.0,278654.0,300575.0,306081.0,356009.0,3526182.0
2026,Sulawesi Tengah,1042351,880248,1164630,956613,,,,,,,,,
2026,Banggai Kepulauan,21708,17971,26861,18541,,,,,,,,,
2026,Banggai,63744,47117,71632,50476,,,,,,,,,
2026,Morowali,90161,71993,92225,82896,,,,,,,,,
2026,Poso,92374,67234,91235,72508,,,,,,,,,
2026,Donggala,117983,105425,143129,104854,,,,,,,,,
2026,Tolitoli,30470,24119,46205,30582,,,,,,,,,
2026,Buol,17365,14862,23130,15663,,,,,,,,,
2026,Parigi Moutong,101742,89872,135334,92588,,,,,,,,,
2026,Tojo Una-una,32202,26772,43725,25995,,,,,,,,,
2026,Sigi,126218,109690,126028,119807,,,,,,,,,
2026,Banggai Laut,15565,11879,17274,11740,,,,,,,,,
2026,Morowali Utara,50986,41959,54290,44427,,,,,,,,,
2026,Kota Palu,281833,251355,293562,286536,,,,,,,,,
